depth (m),gas age (a B1950),CH4 (ppbv)
2505.23,310335,461
2505.8,310591,493
2507.43,311279,470
2508,311511,517
2509.63,312176,515
2510.2,312435,516
2511.83,313172,522
2512.4,313424,540
2514.03,314118,548
2514.6,314356,568
2516.23,315028,553
2516.8,315253,634
2518.43,315881,618
2519,316090,606
2520.63,316659,598
2521.2,316853,635
2522.83,317395,607
2523.4,317595,515
2525.03,318173,465
2525.6,318380,459
2527.23,318988,445
2527.8,319205,480
2529.43,319952,481
2530,320217,479
2531.63,320953,478
2532.2,321196,480
2533.83,321820,498
2534.4,322026,503
2536.03,322582,521
2536.6,322768,529
2538.23,323294,519
2538.8,323476,528
2540.43,323983,519
2541,324158,533
2542.63,324646,544
2543.2,324809,557
2544.83,325272,593
2545.4,325434,568
2546.98,325889,580
2547.6,326069,590
2549.23,326549,612
2549.8,326708,617
2551.43,327152,626
2552,327298,644
2553.63,327716,633
2554.2,327862,635
2555.81,328308,611
2556.4,328474,634
2558.03,328929,644
2558.6,329085,654
2560.23,329520,642
2560.8,329670,662
2562.43,330108,657
2565.2,330851,669
2566.83,331293,636
2567.4,331445,658
2569.03,331783,643
2569.6,331894,663
2571.23,332228,621
2571.8,332356,637
2573.43,332791,615
2574,332955,637
2575.58,333411,636
2576.2,333563,649
2577.78,333927,673
2578.93,334168,721
2579.5,334275,726
2581.08,334574,738
2581.7,334693,776
2583.28,334986,798
2583.9,335100,797
2585.48,335388,599
2586.61,335601,590
2587.68,335802,604
2588.3,335918,607
2589.88,336223,631
2590.5,336345,652
2592.08,336683,581
2592.7,336824,597
2594.29,337212,570
2594.9,337380,566
2596.48,337851,537
2597.1,338043,531
2598.7,338597,496
2599.3,338821,504
2600.93,339450,486
2601.5,339682,486
2603.13,340392,453
2604.14,340867,445
2604.23,340912,445
2605.33,341457,465
2605.9,341768,460
2607.53,342713,449
2608.1,343082,439
2609.73,344170,395
2610.3,344557,394
2611.93,345587,370
2613,346191,366
2614.13,346814,375
2614.7,347119,368
2616.3,347944,374
2616.9,348247,389
2618.53,349098,391
2619.63,349665,417
2620.73,350225,403
2621.3,350511,421
2622.93,351326,459
2623.5,351610,407
2625.13,352453,392
2625.7,352764,402
2627.33,353651,414
2627.9,353958,403
2629.53,354774,397
2630.61,355287,405
2631.73,355809,395
2632.83,356389,406
2633.93,357019,403
2635.03,357700,404
2636.13,358393,420
2637.22,359088,435
2638.33,359805,431
2639.43,360493,417
2640.53,361173,418
2641.63,361842,456
2642.73,362510,415
2643.83,363162,420
2644.93,363798,466
2646.03,364419,433
2647.12,365009,487
2648.23,365580,413
2649.33,366133,449
2650.43,366687,416
2651.53,367243,460
2652.63,367785,416
2653.73,368329,403
2654.83,368874,460
2655.93,369495,422
2657.03,370123,422
2658.13,370757,444
2659.23,371370,518
2660.33,371971,508
2661.43,372560,491
2662.53,373116,502
2663.63,373669,523
2664.73,374220,540
2665.83,374837,451
2666.93,375475,445
2668.03,376134,426
2669.13,376736,426
2670.23,377318,433
2671.33,377879,445
2672.43,378438,442
2675.73,380063,494
2676.83,380588,485
2677.93,381116,548
2679.03,381647,544
2680.13,382172,548
2681.23,382692,601
2682.33,383248,587
2683.4,383794,482
2684.53,384378,536
2685.63,384953,561
2686.71,385488,553
2687.83,386008,577
2688.93,386493,594
2690.03,386985,637
2691.13,387485,531
2692.23,388131,463
2693.33,388816,452
2694.43,389539,472
2695.53,390196,568
2696.63,390819,525
2697.73,391409,506
2698.78,391961,488
2699.93,392554,489
2701.03,393108,498
2702.13,393622,485
2703.23,394115,562
2704.33,394587,550
2705.43,395005,594
2706.51,395406,585
2707.58,395794,603
2708.73,396254,594
2709.83,396690,602
2710.93,397118,590
2712.03,397542,605
2713.13,397960,600
2714.2,398362,612
2715.33,398796,608
2716.43,399211,593
2717.53,399618,580
2718.6,400011,607
2719.73,400416,607
2720.8,400790,662
2721.93,401168,628
2723.03,401527,627
2724.13,401875,633
2725.23,402224,646
2726.33,402581,642
2727.43,402946,640
2728.53,403306,653
2729.63,403666,681
2730.73,404027,664
2731.83,404402,674
2732.93,404777,661
2734.03,405151,663
2735.13,405517,659
2736.23,405885,700
2737.28,406240,708
2738.43,406631,672
2739.53,407002,691
2740.63,407369,736
2741.73,407744,710
2742.83,408127,681
2743.93,408519,695
2745.03,408912,711
2746.08,409284,714
2747.23,409690,699
2748.33,410121,710
2749.43,410559,713
2750.53,411006,701
2751.63,411453,694
2752.73,411918,700
2753.8,412390,712
2754.93,412889,659
2756,413359,656
2757.13,413852,690
2758.15,414288,696
2759.33,414804,677
2760.43,415296,638
2761.53,415799,639
2762,416014,620
2762.56,416273,623
2763.03,416490,630
2763.7,416800,633
2764.83,417324,634
2765.23,417510,671
2765.93,417839,647
2766.33,418028,668
2767.03,418358,635
2767.47,418575,658
2768.13,418901,660
2768.73,419197,655
2769.73,419702,665
2770.33,420005,687
2770.73,420211,674
2771.43,420573,695
2771.85,420789,678
2772.5,421143,699
2773.63,421769,703
2774.03,421998,684
2774.73,422400,689
2775.11,422618,672
2775.83,423046,689
2776.9,423687,660
2777.53,424062,649
2778.43,424597,622
2779.13,424989,598
2779.54,425215,604
2780.23,425594,618
2780.63,425829,605
2780.83,425947,584
2781.21,426172,498
2781.33,426243,503
2782.05,426684,508
2782.87,427252,457
2783.53,427709,463
2783.95,428059,459
2784.63,428630,465
2785.03,428966,412
2785.7,429604,418
2786.83,430724,472
2787.23,431206,406
2787.93,432057,382
2788.19,432374,380
2789.03,433489,385
2789.45,434073,394
2790.13,435020,389
2791.23,436577,392
2792.33,438145,381
2793.43,439723,381
2794.53,441308,385
2795.63,442899,395
2796.35,443946,392
2797.83,445906,405
2798.42,446656,400
2799.53,447907,438
2800.62,449062,439
2801.09,449531,439
2801.72,450160,491
2802.16,450593,427
2802.82,451244,409
2803.26,451678,452
2804.04,452391,474
2804.39,452708,506
2805.02,453281,427
2806.12,454369,389
2807.22,455484,381
2808.33,456632,384
2809.42,457706,403
2810.52,458757,426
2810.98,459184,486
2811.62,459778,468
2812.09,460223,434
2812.73,460831,412
2813.82,461905,408
2814.92,463025,398
2816.02,464107,409
2816.49,464570,424
2817.13,465156,521
2817.59,465574,463
2818.22,466148,491
2819.35,467242,448
2820.42,468340,442
2821.53,469533,491
2821.96,469987,491
2822.62,470683,430
2823.72,471786,443
2824.82,472832,482
2825.93,473706,482
2827.02,474569,440
2828.12,475446,456
2829.22,476480,475
2830.33,477500,504
2831.42,478479,517
2832.52,479371,528
2833.62,480294,496
2834.73,481254,531
2835.19,481638,504
2835.82,482163,492
2836.92,483023,504
2838.02,483826,507
2839.13,484596,516
2840.22,485339,544
2841.32,486076,543
2842.42,486800,569
2843.53,487528,583
2844.61,488233,583
2845.72,488970,615
2846.82,489693,624
2847.93,490417,588
2849.02,491121,558
2850.11,491822,584
2851.22,492532,534
2852.33,493268,501
2853.42,493982,500
2854.52,494696,517
2855.62,495404,496
2856.73,496124,514
2857.82,496837,522
2858.92,497609,516
2860.02,498387,506
2861.13,499180,509
2862.22,499951,499
2863.32,500726,496
2864.42,501498,512
2865.56,502310,522
2866.62,503060,517
2867.72,503834,515
2868.84,504589,549
2869.93,505340,566
2871.02,506107,524
2872.12,506936,579
2873.22,507752,601
2874.33,508565,573
2875.42,509401,582
2876.52,510258,557
2877.62,511125,533
2878.73,511985,520
2879.82,512823,495
2880.92,513663,487
2882.02,514477,486
2883.13,515293,488
2884.22,516088,496
2885.32,516822,507
2886.45,517568,519
2886.89,517856,483
2887.53,518276,477
2887.99,518580,501
2888.62,518998,508
2889.72,519735,507
2890.82,520479,512
2891.93,521239,499
2895.22,523469,524
2896.33,524231,522
2897.42,524987,535
2898.52,525757,516
2899.62,526537,534
2900.73,527335,518
2901.82,528145,534
2902.92,529000,538
2904.02,529889,541
2905.13,530799,529
2906.22,531680,518
2906.69,532055,520
2907.32,532559,464
2908.42,533503,441
2909.53,534547,450
2910.62,535653,420
2911.72,536809,422
2912.82,537933,458
2913.93,539037,449
2915.05,540126,490
2916.12,541167,497
2916.59,541624,467
2917.22,542238,448
2917.69,542710,415
2918.33,543353,400
2919.42,544414,391
2920.52,545451,408
2921.62,546399,405
2922.73,547371,427
2923.82,548339,418
2924.92,549288,409
2926.02,550191,390
2927.17,551082,434
2928.22,551779,456
2929.32,552424,472
2930.42,552990,477
2931.53,553558,491
2931.99,553794,443
2932.62,554173,431
2933.72,554847,471
2934.82,555531,501
2935.93,556157,519
2937.02,556712,557
2938.12,557177,578
2939.22,557636,575
2940.43,558137,531
2941.42,558566,496
2942.52,559075,443
2943.62,559616,443
2944.73,560185,468
2945.81,560721,492
2946.92,561252,501
2948.02,561690,516
2948.49,561876,511
2949.59,562299,464
2950.74,562734,484
2951.32,562949,486
2952.42,563354,497
2953.53,563757,495
2954.62,564137,532
2955.72,564536,529
2956.82,564950,554
2957.93,565358,550
2959.02,565734,579
2960.12,566089,581
2961.23,566435,589
2962.33,566771,577
2963.42,567097,627
2964.55,567418,618
2965.62,567734,626
2966.73,568070,620
2967.82,568389,603
2968.92,568750,615
2970.02,569147,613
2971.13,569519,589
2972.22,569895,590
2973.32,570282,589
2974.42,570680,588
2975.53,571083,580
2976.62,571478,597
2977.72,571819,594
2978.85,572169,610
2979.93,572505,604
2981.02,572880,614
2982.12,573282,612
2983.22,573707,613
2984.33,574163,598
2985.43,574609,620
2986.52,575045,605
2987.62,575463,600
2988.73,575907,581
2989.82,576363,589
2990.92,576879,584
2992.02,577408,597
2993.13,577952,579
2994.22,578493,602
2995.32,579035,602
2996.42,579573,618
2997.53,580147,609
2997.99,580385,521
2998.62,580790,505
2999.72,581514,484
3000.82,582422,488
3001.93,583454,482
3005.22,586681,470
3006.33,587766,451
3007.42,588902,468
3008.52,590004,480
3009.07,590534,428
3010.73,592258,483
3011.82,593499,510
3012.92,594818,539
3013.39,595397,463
3014.02,596172,448
3015.13,597639,465
3015.59,598284,496
3016.22,599166,544
3017.33,600613,534
3018.42,601987,542
3019.53,603343,526
3020.62,604685,503
3021.72,606042,533
3022.82,607400,538
3023.93,608680,578
3024.39,609210,577
3025.02,609891,583
3026.12,611071,593
3027.22,612231,620
3028.33,613414,601
3029.42,614586,620
3030.52,615801,617
3031.62,617055,611
3032.73,618358,604
3033.82,619676,602
3034.92,621027,609
3035.39,621611,627
3036.04,622423,661
3036.49,623013,618
3037.13,623852,572
3037.59,624454,573
3038.22,625338,478
3038.69,626002,474
3039.32,626900,386
3040.42,628936,356
3041.53,631255,376
3042.62,633773,361
3043.7,636429,373
3044.82,639159,373
3045.93,641829,369
3046.39,642789,386
3047.02,644103,429
3048.12,646296,429
3049.32,648548,426
3050.33,650161,414
3051.42,651904,409
3052.52,653665,397
3053.62,655359,414
3054.07,656052,398
3054.73,657012,344
3055.82,658588,359
3056.92,660392,402
3058.02,662120,384
3059.13,663787,414
3060.66,665752,376
3061.32,666692,374
3061.76,667329,365
3062.42,668280,385
3062.81,668771,390
3063.53,669676,396
3064.72,671034,489
3064.8,671118,483
3065.06,671392,439
3065.72,672091,462
3066.16,672677,471
3066.82,673556,529
3067.26,674142,512
3067.93,674881,562
3068.33,675307,564
3069.02,676041,554
3069.45,676460,551
3070.12,677112,536
3070.56,677540,455
3071.22,678219,466
3071.66,678676,464
3072.33,679365,491
3072.73,679681,495
3073.42,680227,494
3073.74,680481,500
3073.86,680576,544
3074.52,681190,460
3074.96,681610,446
3075.62,682240,466
3076.04,682655,490
3076.73,683338,482
3077.13,683734,486
3077.82,684335,505
3078.17,684631,523
3078.26,684707,543
3078.92,685264,494
3079.36,685626,498
3080.02,686168,499
3080.46,686530,504
3081.13,687058,520
3082.3,687973,508
3082.62,688223,514
3083.32,688770,521
3083.76,689113,523
3084.85,689905,538
3085.53,690394,529
3085.93,690671,527
3086.62,691147,538
3087.03,691431,542
3087.72,691940,557
3088.16,692269,540
3088.82,692761,555
3089.27,693059,549
3089.93,693497,561
3091.02,694211,584
3091.45,694490,568
3092.12,694925,570
3092.56,695219,557
3093.22,695660,596
3093.65,695948,602
3094.33,696364,590
3095.42,697021,615
3095.86,697302,629
3096.52,697723,639
3096.96,698004,635
3097.62,698428,652
3098.05,698705,632
3098.73,699141,647
3099.13,699383,643
3099.82,699800,645
3100.26,700066,624
3101.36,700773,604
3102.02,701199,605
3102.37,701426,588
3103.61,702228,604
3104.22,702660,594
3104.66,702973,566
3105.32,703442,581
3105.76,703755,578
3106.42,704224,595
3106.86,704537,571
3107.52,704977,584
3108.03,705313,594
3108.62,705703,605
3109.06,706010,582
3109.72,706469,593
3110.07,706713,588
3110.82,707266,602
3111.26,707597,585
3111.92,708094,610
3112.31,708414,610
3113.03,709004,519
3113.46,709357,505
3114.12,709951,512
3114.56,710352,521
3115.22,710953,611
3115.33,711050,568
3115.66,711343,556
3116.32,711929,591
3116.83,712382,573
3117.42,712940,588
3117.93,713424,597
3118.55,714014,593
3118.93,714389,577
3119.63,715079,570
3120.05,715494,531
3120.72,716173,435
3121.23,716693,399
3121.82,717300,403
3122.26,717873,392
3122.92,718734,408
3123.41,719372,401
3124.02,720047,491
3124.46,720528,515
3125.12,721249,566
3125.63,721804,560
3126.23,722458,581
3126.63,722893,478
3127.33,723689,561
3127.83,724262,504
3128.42,724938,541
3128.83,725384,531
3129.52,726136,559
3129.88,726528,530
3130.62,727343,551
3131.06,727829,545
3131.72,728558,538
3132.23,729099,512
3132.89,729800,537
3133.23,730161,521
3133.92,730812,525
3134.43,731280,530
3135.02,731824,519
3135.46,732264,520
3136.12,732924,531
3136.63,733434,518
3137.22,733990,541
3137.66,734403,546
3138.32,735024,561
3138.83,735510,542
3139.42,736072,508
3139.8,736435,423
3140.52,737244,407
3141.03,737841,408
3141.62,738534,403
3142.06,739097,411
3142.72,739942,414
3143.23,740595,388
3143.82,741286,409
3144.26,741800,402
3144.92,742572,422
3145.43,743193,439
3146.02,743911,422
3146.46,744446,421
3147.12,745243,432
3147.63,745858,415
3148.22,746569,428
3148.66,747101,402
3149.32,747898,405
3149.83,748515,392
3150.42,749222,409
3150.85,749737,378
3151.52,750541,400
3152.03,751185,408
3152.62,751930,428
3153.06,752486,401
3153.75,753441,431
3154.92,755067,410
3155.26,755505,406
3155.92,756357,429
3156.43,757015,445
3157.02,757743,419
3157.46,758285,439
3157.65,758519,473
3157.85,758765,480
3158.12,759096,505
3158.63,759683,498
3158.75,759821,498
3158.95,760051,486
3159.32,760476,421
3159.66,760868,434
3160.32,761679,462
3160.78,762250,454
3161.53,763207,473
3161.86,763680,474
3162.52,764628,521
3163.02,765345,538
3163.33,765759,556
3163.62,766143,549
3163.94,766567,563
3164.06,766726,518
3164.35,767110,535
3164.47,767269,500
3164.72,767599,470
3164.98,767932,462
3165.23,768252,467
3165.82,769007,519
3166.23,769532,486
3166.92,770522,568
3167.43,771270,570
3167.64,771578,587
3167.75,771740,616
3168.02,772132,622
3168.19,772348,630
3168.43,772653,632
3168.67,772958,647
3168.87,773212,639
3169.12,773529,556
3169.34,773809,543
3169.49,773999,539
3169.63,774177,530
3170.22,774916,566
3170.66,775466,549
3171.32,776291,583
3171.83,776910,577
3172.43,777640,618
3172.86,778162,601
3173.52,778912,658
3174.03,779486,681
3174.62,780149,614
3175.05,780646,598
3175.72,781419,616
3176.23,782007,630
3176.94,782787,633
3177.23,783105,623
3177.95,783891,639
3178.43,784388,618
3179.02,784998,653
3179.46,785454,639
3180.12,786153,686
3180.63,786695,677
3181.17,787269,723
3181.22,787320,739
3181.33,787425,699
3181.63,787712,713
3182.32,788372,659
3182.79,788822,589
3183.42,789454,562
3183.86,789898,543
3184.52,790569,540
3185.03,791223,483
3185.62,791978,503
3186.06,792542,466
3186.72,793474,470
3187.23,794205,451
3187.82,795053,420
3188.08,795454,428
3188.95,796799,418
3189.43,797541,396
3190.03,798593,458
3190.53,799472,399
