depth (m),gas age (a B1950),CH4 (ppbv)
431.26,12277.5,462
431.48,12294.2,483
434.33,12421.4,462
436.81,12495.8,480
436.98,12500.7,467
438.28,12554.1,479
443.13,12786.2,542
445.64,12927.8,651
445.78,12936.8,627
448.08,13126.3,643
450.47,13386.7,610
450.73,13412.1,646
453.11,13584.3,661
453.58,13602.2,662
456.61,13711.6,670
456.78,13717.6,653
460.14,13930.7,646
461.92,14064.9,628
463.16,14154.7,625
463.38,14170.6,619
464.58,14224.3,613
466.84,14250.6,619
467.11,14254.4,623
467.31,14259,630
469.53,14345.3,612
472.94,14572.6,578
473.1,14583.5,597
474.04,14632.9,569
479.43,14803.3,465
479.87,14815.6,476
483.83,15113.5,461
484.05,15132.9,470
484.18,15144.4,469
486.99,15400.7,459
489.77,15634.6,470
491.53,15761,476
495.61,15915.8,463
495.83,15926,451
498.68,16039.3,452
501.14,16121,441
501.33,16126.6,456
505.9,16631.6,441
506.2,16675.2,438
506.28,16686.8,473
508.99,16956.9,419
511.38,17116.4,424
511.77,17140.5,427
514.48,17276.7,405
516.87,17361.8,409
517.08,17372.4,404
519.56,17594.3,408
519.7,17610.7,381
522.4,18099.6,395
522.69,18151.7,389
525.6,18453.2,371
527.85,18593.9,375
528.11,18610.6,366
528.24,18619.6,384
530.95,18872.2,366
532.42,19051.1,377
532.63,19076.8,371
536.44,19417,375
538.82,19566.7,371
539.07,19580.5,378
539.22,19588.7,371
543.41,19855.7,373
543.59,19865.6,379
548.51,20128.3,366
549.95,20196.6,358
550.2,20209.1,377
552.5,20395.3,356
552.66,20411.5,351
555.71,20781.9,374
557.44,21004.5,375
561.16,21428.9,384
561.19,21429,367
563.88,21542,378
566.42,21674.6,365
569.37,21789.9,354
572.16,21930,357
575.55,22112.8,357
577.85,22206.9,355
585.43,22775.3,407
587.65,22931.8,385
590.31,23000,390
592.04,23163.4,390
594.22,23386.1,390
596.9,23557.8,386
598.61,23855.2,398
600.82,24120.8,375
603,24333.9,360
605.19,24587.1,373
607.39,24985.4,389
609.61,25202.4,372
613.98,25726.4,370
616.68,25985.6,365
